sku,desc,wholesale_cost,dims_cm
"TOY0518","Transformers Doll",11.28,12.6|9.2|0.6
"HOM0522","Toy Toaster (yellow)",13.22,18.5|12.2|6.4
"TOY0536","Mega Airplane",11.78,17.0|8.7|7.3
"HOM0539","Mini Blender (azure)",50.61,17.5|14.3|13.9
"BKY0542","Caraway Bagel",1.10,14.7|9.0|3.2
"HOM0553","Toy Timer (azure)",5.36,13.4|7.2|1.0
"TOY0569","Mini Crayons",3.49,17.2|6.3|3.5
"PET0577","Dry Cat Food, Tuna & Tuna",0.99,17.2|12.7|10.5
"COL0582","Noah's Bobblehead (green)",4.12,10.3|4.9|0.6
"COL0587","Noah's Ark Model (HO Scale)",49.35,1.4|1.3|0.3
"HOM0589","Vintage Machine (blue)",38.47,17.8|10.2|0.8
"DLI0645","Health Soup",0.86,19.6|16.3|0.5
"COL0648","Noah's Jewelry (amber)",23.20,11.2|3.2|2.1
"PET0667","Adult Rabbit Food",2.20,13.2|6.7|1.5
"COL0670","Noah's Poster (blue)",3.17,19.6|10.4|9.2
"TOY0675","Vintage Blocks",6.52,9.8|8.1|3.4
"TOY0680","Mechanical Crayons",2.98,19.7|15.4|9.7
"HOM0705","Vintage Mixer (amber)",144.84,18.2|5.2|5.0
"HOM0707","Mechanical Mixer",113.42,17.2|16.4|15.4
"HOM0708","Vintage Toaster",28.37,17.2|16.8|1.0
"HOM0723","Ultra Widget",3.95,11.8|3.5|1.7
"DLI0733","Smoked Egg Salad",0.99,13.6|10.3|7.5
"HOM0736","Vintage Blender (red)",78.87,19.7|16.3|15.5
"HOM0754","Toy Machine (puce)",19.33,6.9|0.5|0.3
"TOY0773","Manual Board Game",16.51,13.1|10.3|0.8
"HOM0778","Vintage Toaster (azure)",29.94,18.5|18.3|3.7
"TOY0779","Ultra Hebrew Blocks",3.51,16.5|15.8|1.3
"TOY0810","Super Toy Soldier",10.50,12.3|4.9|2.5
"COL0819","Noah's Jersey (white)",10.01,19.2|19.0|7.6
"TOY0819","Handmade Toy Soldier",19.54,17.9|9.0|1.2
"HOM0830","Mini Timer (amber)",6.71,15.6|6.7|0.2
"TOY0832","Marvel Silly Bandz",5.06,5.0|3.4|0.5
"DLI0848","Dilled Cucumber Salad",1.06,19.6|16.5|7.8
"HOM0851","Vintage Radio (green)",30.82,15.5|14.8|3.1
"PET0854","Gluten-free Cat Food, Shrimp & Shrimp",1.33,18.7|5.7|5.0
"HOM0858","Toy Blender (yellow)",38.78,6.8|2.9|2.3
"PET0861","Vegan Senior Cat Food, Pumpkin & Pumpkin",1.27,15.3|6.4|0.6
"HOM0861","Toy Radio (azure)",16.16,9.9|2.9|0.6
"HOM0894","Vintage Mixer (red)",152.19,19.3|15.2|2.2
"HOM0906","Super Machine",36.60,19.4|16.3|8.4
"DLI0913","Dilled Whitefish Sandwich",0.77,20.0|14.3|7.1
"PET0940","Gluten-free Cat Food, Pumpkin & Pumpkin",1.77,15.6|10.4|10.4
"DLI0945","Pickled Whitefish Salad",0.99,19.7|3.0|2.3
"TOY0948","Electric Crayons",3.33,16.8|13.7|11.9
"HOM0962","Vintage Mixer (blue)",135.12,18.5|14.2|9.3
"DLI0966","Dilled Cabbage Salad",0.86,19.8|17.3|2.2
"CMP1012","Cellular Router",69.25,15.7|13.4|3.8
"BKY1021","Raspberry Rugelach",1.12,14.5|9.6|2.6
"TOY1039","Mega Toy Soldier",8.88,15.4|8.3|3.7
"PET1042","Gluten-free Senior Cat Food, Beef & Beef",1.40,11.6|5.2|1.8
"HOM1046","Vintage Radio (magenta)",31.71,9.3|7.9|6.3
"HOM1049","Toy Machine (white)",20.99,19.3|7.0|1.4
"HOM1065","Vintage Bicycle (yellow)",129.23,13.5|11.9|8.2
"COL1068","Noah's Bobblehead (white)",5.34,17.9|1.7|0.2
"HOM1068","Toy Blender (purple)",37.11,19.4|14.7|8.3
"HOM1070","Mini Blender (magenta)",51.34,14.6|11.3|7.0
"COL1071","Noah's Bobblehead (magenta)",5.16,14.9|8.3|1.0
"TOY1080","Automatic Crayons",3.32,18.2|16.9|11.5
"HOM1104","Mini Machine (azure)",23.78,14.3|10.3|10.2
"HOM1110","Vintage Bicycle",105.38,19.2|11.7|10.1
"BKY1115","Caraway Bialy",1.13,14.4|2.2|1.9
"DLI1132","Broccoli Blintz",1.15,18.6|11.4|1.6
"HOM1132","Vintage Bicycle (green)",120.57,18.2|3.0|0.4
"HOM1146","Mini Widget (orange)",5.69,18.6|16.0|1.7
"HOM1147","Handmade Machine (blue)",52.12,15.9|11.6|3.6
"COL1164","Noah's Gift Box (yellow)",3.09,13.0|12.8|4.2
"DLI1184","Pickled Beet Sandwich",0.86,13.9|12.5|9.2
"PET1240","Dry Adult Cat Food, Chicken & Chicken",0.90,4.5|4.2|2.5
"HOM1251","Toy Bicycle (white)",49.25,14.5|10.5|3.3
"COL1258","Noah's Bobblehead (yellow)",5.32,19.4|14.8|13.5
"DLI1267","Salted Salmon Salad",0.97,13.4|9.8|3.8
"HOM1268","Toy Widget",3.30,10.2|5.7|0.8
"TOY1273","Tonka Doll",9.71,17.0|15.1|5.6
"HOM1284","Mini Bicycle",73.57,19.9|14.4|9.5
"HOM1287","Mini Radio (blue)",20.69,19.3|18.3|5.2
"TOY1306","Vintage Fidget Toy",1.51,17.4|14.2|12.5
"HOM1306","Vintage Timer (amber)",11.35,16.6|13.7|13.6
"COL1322","Noah's Lunchbox (mauve)",8.10,18.9|14.5|10.8
"HOM1327","Toy Timer (magenta)",5.18,19.8|11.7|9.7
"TOY1328","Manual Yoyo",5.30,12.3|8.3|1.1
"DLI1364","Broccoli Seitan Meatball",1.09,17.1|13.9|7.3
"HOM1367","Toy Blender (white)",38.30,19.0|17.3|1.4
"HOM1378","Vintage Bicycle (blue)",105.17,17.8|14.5|10.7
"HOM1386","Mechanical Toaster",16.29,11.6|9.6|9.4
"DLI1402","Salted Cabbage Sandwich",0.98,18.8|18.1|0.0
"CMP1407","Bluetooth Monitor",108.23,16.6|13.8|12.0
"PET1416","Wet Cat Food, Salmon & Salmon",1.14,16.8|13.9|12.9
"HOM1416","Toy Widget (red)",3.05,9.1|4.8|0.6
"TOY1419","Electric Silly Bandz",3.18,16.8|15.4|12.4
"HOM1430","Toy Mixer (orange)",63.62,17.0|11.3|10.5
"TOY1448","Handmade Crayons",5.82,17.8|5.5|0.7
"TOY1451","Vintage Crayons",4.13,5.6|1.9|1.5
"PET1461","Fish Food",0.76,10.1|9.7|1.6
"PET1492","Vegan Cat Food, Tuna & Tuna",1.48,9.6|3.4|2.3
"COL1493","Noah's Action Figure (red)",14.67,12.0|6.7|0.9
"COL1495","Noah's Gift Box (white)",3.12,18.1|15.4|11.8
"HOM1508","Vintage Radio (orange)",29.30,9.1|4.4|4.2
"HOM1549","Vintage Machine (puce)",43.54,16.9|16.2|8.1
"HOM1553","Toy Radio (orange)",13.27,8.3|5.3|3.6
"PET1580","Dry Adult Cat Food, Tuna & Tuna",0.88,15.9|10.4|1.8
"HOM1593","Toy Crockpot (puce)",48.78,13.7|6.5|1.6
"TOY1597","Lego Blocks",5.15,15.3|12.3|9.7
"PET1613","Senior Hedgehog Food",0.76,10.3|2.6|1.6
"TOY1614","Mechanical Train",12.73,18.6|8.2|3.1
"TOY1644","Power Board Game",12.76,10.6|6.2|2.8
"TOY1648","Toy Dreidel",2.20,12.1|3.5|3.5
"COL1690","Noah's Jewelry (green)",28.62,18.9|3.9|2.1
"TOY1695","Mega Crayons",3.03,13.9|11.5|1.2
"TOY1700","Transformers Yoyo",5.84,14.8|12.6|9.9
"HOM1701","Mini Bicycle (amber)",76.30,5.4|2.9|2.1
"DLI1704","Pickled Beet Salad",1.09,14.3|8.7|0.5
"HOM1707","Manual Machine",28.65,19.7|4.4|0.9
"COL1711","Noah's Lunchbox (red)",10.80,15.5|14.7|9.9
"HOM1720","Toy Machine (magenta)",25.97,15.1|10.8|8.3
"TOY1726","Automatic Blocks",3.15,15.4|6.9|4.5
"DLI1732","Pickled Cucumber Salad",0.97,17.7|14.9|14.7
"HOM1736","Vintage Toaster (purple)",26.40,15.9|10.6|3.8
"PET1755","Senior Bird Food",0.96,20.0|14.9|8.3
"HOM1769","Vintage Timer (blue)",11.40,4.2|4.0|2.1
"HOM1779","Mini Radio (puce)",25.35,15.6|14.1|10.1
"HOM1783","Mini Radio (red)",21.86,17.8|13.7|12.6
"HOM1784","Vintage Toaster (green)",33.05,13.9|11.5|6.2
"TOY1806","Automatic Stickers",0.84,16.2|12.1|8.5
"COL1809","Noah's Poster (azure)",3.83,18.5|14.4|5.1
"TOY1815","Tonka Blocks",4.74,11.6|7.4|1.5
"HOM1822","Super Toaster",18.96,19.2|14.5|2.7
"DLI1833","Pickled Herring Sandwich",1.03,17.5|2.5|0.2
"TOY1836","Lego Ball",3.32,18.7|12.7|2.3
"HOM1840","Toy Radio (mauve)",14.12,8.8|6.6|6.0
"HOM1847","Vintage Crockpot (yellow)",96.90,17.8|17.1|4.3
"HOM1865","Toy Bicycle (amber)",57.59,15.6|12.6|10.3
"TOY1871","Noah's Dreidel",3.05,17.5|11.6|1.9
"HOM1887","Toy Machine (red)",21.73,16.6|14.1|6.6
"PET1890","Rat",0.55,7.7|5.3|4.8
"PET1904","Wet Adult Cat Food, Chicken & Chicken",1.02,14.8|6.5|3.2
"TOY1907","Disney Train",41.50,11.7|11.3|3.2
"HOM1909","Vintage Radio (blue)",26.71,17.6|6.3|0.1
"PET1911","Wet Adult Cat Food, Shrimp & Shrimp",1.05,19.7|17.4|10.7
"DLI1948","Salted Cucumber Sandwich",1.02,18.6|16.1|8.4
"CMP1964","Network Webcam",25.45,16.3|12.2|5.2
"HOM1969","Electric Toaster",23.89,13.1|9.5|5.0
"HOM1983","Vintage Mixer (mauve)",157.05,12.9|12.2|10.3
"PET1987","Dry Adult Cat Food, Pumpkin & Pumpkin",0.89,13.1|9.5|4.4
"HOM1990","Mini Radio (orange)",17.09,16.1|12.6|6.0
"HOM2020","Electric Machine",31.32,19.0|15.1|11.8
"HOM2035","Mini Crockpot (amber)",65.42,6.3|3.0|0.4
"PET2037","Gluten-free Adult Cat Food, Beef & Beef",1.58,16.7|8.8|3.8
"TOY2050","Manual Train",9.89,14.0|13.4|3.4
"HOM2050","Mini Mixer (blue)",91.46,15.1|6.4|1.6
"PET2056","Adult Lizard Food",1.09,15.1|12.6|6.4
"HOM2058","Toy Crockpot (blue)",49.39,11.4|5.3|1.1
"TOY2066","Tonka Silly Bandz",2.91,15.0|10.2|3.7
"TOY2069","Mega Hebrew Blocks",3.18,18.1|13.0|10.9
"HOM2077","Super Bicycle",78.91,15.3|11.1|7.1
"COL2078","Noah's Gift Box (purple)",3.13,19.2|9.1|1.9
"COL2103","Noah's Action Figure (puce)",14.11,9.7|3.5|3.1
"HOM2107","Mini Toaster (puce)",19.55,12.3|4.7|1.5
"TOY2128","Automatic Doll",9.81,11.5|3.2|2.5
"HOM2134","Handmade Machine (orange)",57.19,10.9|2.9|2.2
"HOM2143","Handmade Blender",98.93,18.1|13.7|0.0
"CMP2146","Bluetooth Router",83.68,8.9|7.9|1.3
"DLI2157","Salted Whitefish Sandwich",1.01,7.6|7.4|0.3
"TOY2171","Transformers Fidget Toy",1.24,16.1|12.2|1.8
"HOM2174","Mini Mixer (mauve)",105.77,18.7|3.7|2.4
"PET2199","Mouse Food",0.54,14.8|13.3|8.1
"TOY2205","Vintage Airplane",17.66,18.8|9.1|6.2
"PET2212","Wet Cat Food, Duck & Duck",0.89,7.7|4.7|1.4
"PET2233","Gluten-free Adult Cat Food, Pumpkin & Pumpkin",1.20,14.8|14.6|7.3
"COL2236","Noah's Jersey (puce)",11.11,17.6|15.5|5.7
"HOM2236","Mini Toaster (green)",20.67,11.0|10.9|1.0
"HOM2243","Vintage Machine (mauve)",42.10,19.1|13.1|1.1
"CMP2245","Network Camera",86.75,15.3|8.2|5.4
"CMP2256","Womens Keyboard",51.84,14.6|8.7|0.2
"HOM2263","Mega Widget",5.12,13.4|6.4|3.2
"COL2265","Noah's Bobblehead (orange)",6.04,8.4|4.9|0.5
"HOM2266","Toy Blender (red)",29.72,17.5|10.2|3.8
"HOM2267","Toy Crockpot (magenta)",43.03,17.3|7.4|3.9
"DLI2269","Smoked Salmon Sandwich",0.98,18.8|14.0|13.9
"PET2278","Senior Dog Food",0.91,15.3|8.9|3.5
"HOM2278","Toy Toaster",14.10,17.2|14.5|9.6
"COL2279","Noah's Bobblehead (puce)",5.41,19.4|19.0|6.8
"COL2281","Noah's Poster (orange)",4.09,15.8|15.1|3.2
"TOY2294","Star Wars Slinky",7.31,15.1|14.4|5.5
"PET2305","Gluten-free Cat Food, Turkey & Turkey",1.62,7.3|0.3|0.1
"HOM2319","Mini Blender (red)",52.20,19.3|6.0|2.6
"TOY2322","Vintage Yoyo",8.77,8.0|7.9|5.6
"DLI2329","Lentil Sandwich",0.98,13.0|10.2|6.1
"TOY2331","Super Dreidel",2.85,19.9|16.6|12.0
"DLI2340","Matzo Ball Soup",1.02,16.3|15.6|10.3
"TOY2357","Disney Hebrew Blocks",8.40,18.4|17.6|14.2
"HOM2378","Mini Timer (mauve)",6.19,8.9|7.7|7.0
"HOM2380","Electric Widget",5.96,6.5|4.5|1.6
"HOM2384","Automatic Crockpot",74.27,16.9|11.2|1.6
"TOY2393","Electric Blocks",4.66,19.3|18.3|11.2
"PET2408","Adult Rat Food",0.51,17.9|2.4|2.1
"HOM2409","Toy Radio (white)",14.69,17.6|15.9|8.8
"TOY2411","Mechanical Doll",10.57,19.1|12.1|1.2
"TOY2414","Mini Blocks",4.21,16.7|13.7|13.5
"HOM2430","Mini Timer (green)",7.24,17.8|3.0|1.7
"PET2432","Adult Guinea Pig Food",0.45,14.8|12.3|3.3
"PET2460","Gluten-free Senior Cat Food, Chicken & Chicken",1.50,18.8|16.4|4.3
"TOY2468","Electric Stickers",1.06,17.2|16.1|1.3
"HOM2479","Handmade Machine (yellow)",68.16,17.8|16.5|9.0
"COL2480","Noah's Jewelry (red)",32.67,19.3|11.1|6.2
"TOY2482","Handmade Board Game",25.83,11.6|3.1|2.4
"CMP2486","Womens Laptop",824.63,11.7|11.1|8.1
"PET2489","Rabbit",2.14,15.0|10.7|2.7
"TOY2490","Noah's Airplane",11.92,18.6|17.2|10.7
"HOM2493","Toy Crockpot (white)",46.01,11.3|6.8|4.1
"PET2498","Senior Cat Food",1.38,10.8|4.6|1.1
"HOM2503","Vintage Toaster (mauve)",27.91,7.6|4.6|2.5
"CMP2509","Cellular Monitor",142.23,17.9|13.8|13.1
"CMP2517","Cellular Printer",116.81,14.8|8.0|6.4
"TOY2526","Jigsaw Puzzle (Parting the Red Sea)",1.04,19.5|15.2|10.2
"TOY2528","Manual Silly Bandz",2.81,12.6|10.3|8.3
"HOM2538","Power Radio",19.15,19.1|16.3|5.6
"TOY2561","Mega Train",9.64,18.9|11.2|5.7
"PET2579","Senior Mouse Food",0.50,9.6|3.4|2.6
"TOY2594","Star Wars Fidget Toy",2.12,19.1|4.9|0.6
"TOY2601","Disney Doll",32.50,12.3|9.6|0.2
"PET2602","Adult Dog Food",0.96,13.8|3.4|3.2
"HOM2611","Vintage Timer (magenta)",9.86,14.2|9.3|2.3
"HOM2636","Mini Toaster (magenta)",21.65,11.8|9.5|2.4
"HOM2645","Vintage Timer (red)",12.62,8.9|6.8|1.5
"TOY2649","Mega Slinky",3.08,15.4|11.0|1.8
"TOY2665","Mini Stickers",0.85,19.4|7.2|5.8
"HOM2668","Vintage Bicycle (puce)",108.90,19.8|18.5|16.3
"HOM2674","Power Blender",58.02,17.4|13.7|8.1
"HOM2675","Mini Blender (puce)",46.86,16.4|12.5|5.5
"HOM2684","Vintage Blender (mauve)",65.08,5.6|5.4|2.0
"TOY2693","Mini Fidget Toy",0.95,11.6|1.2|0.3
"DLI2699","Dilled Cabbage Sandwich",1.01,18.4|10.7|2.4
"PET2708","Gluten-free Cat Food, Tuna & Tuna",1.15,14.0|12.6|5.3
"HOM2768","Vintage Mixer (green)",144.12,16.5|15.9|11.3
"HOM2769","Super Mixer",99.58,12.3|10.5|5.7
"TOY2770","Super Crayons",2.25,15.8|4.0|0.6
"HOM2774","Toy Widget (purple)",3.54,10.9|8.9|7.4
"HOM2786","Mega Mixer",81.14,16.9|8.3|8.0
"TOY2789","Handmade Dreidel",6.72,7.6|6.7|1.9
"HOM2828","Mini Widget (blue)",5.09,18.9|11.4|2.7
"CMP2836","Wireless Printer",136.37,19.9|15.2|6.0
"HOM2839","Manual Widget",5.45,16.3|10.1|4.2
"HOM2842","Automatic Machine",24.64,14.8|14.0|9.0
"HOM2845","Toy Blender (mauve)",30.99,9.5|5.9|1.7
"TOY2857","Mini Train",12.14,16.1|15.9|13.6
"TOY2860","Lego Train",12.66,17.4|15.2|9.4
"HOM2861","Vintage Machine (magenta)",44.36,15.4|14.1|4.2
"COL2865","Noah's Jersey (purple)",9.83,7.0|4.8|2.5
"COL2879","Noah's Poster (puce)",4.45,7.5|1.7|0.6
"HOM2883","Handmade Machine (amber)",59.05,17.7|15.9|5.2
"PET2885","Adult Hedgehog Food",0.84,17.4|15.7|3.8
"PET2891","Adult Cat Food",1.19,18.1|9.3|4.6
"TOY2892","Ultra Blocks",3.72,6.9|5.1|0.5
"HOM2902","Manual Blender",48.77,14.9|6.8|6.3
"HOM2920","Mini Radio (magenta)",21.38,17.6|15.5|6.1
"TOY2936","Power Hebrew Blocks",2.56,9.8|6.0|3.3
"TOY2939","Marvel Board Game",20.38,18.3|13.3|10.7
"DLI2946","Pickled Whitefish Sandwich",1.11,7.1|3.7|2.7
"HOM2950","Vintage Widget (purple)",8.45,15.5|15.1|8.8
"TOY2965","Transformers Silly Bandz",4.05,19.9|11.7|7.9
"TOY2980","Marvel Stickers",1.80,13.4|11.5|2.1
"TOY2983","Transformers Ball",3.21,19.1|14.4|12.1
"PET3009","Wet Senior Cat Food, Chicken & Chicken",1.07,17.8|6.3|3.6
"TOY3023","Power Toy Soldier",10.63,16.2|12.6|8.5
"HOM3037","Vintage Crockpot (orange)",98.55,15.9|15.4|7.6
"DLI3049","Dilled Beet Sandwich",1.16,14.9|12.2|12.0
"PET3050","Wet Senior Cat Food, Turkey & Turkey",0.87,18.9|7.3|0.9
"TOY3051","Power Train",12.52,16.0|15.3|13.9
"HOM3051","Vintage Toaster (blue)",31.41,13.8|5.2|3.3
"TOY3077","Manual Crayons",3.27,13.5|8.2|1.9
"COL3084","Noah's Bobblehead (purple)",4.06,18.4|11.8|6.7
"TOY3105","Star Wars Dreidel",4.83,9.7|7.8|7.1
"HOM3120","Toy Bicycle",48.11,19.7|14.3|13.8
"PET3127","Gluten-free Senior Cat Food, Turkey & Turkey",1.72,18.8|13.9|7.1
"HOM3136","Toy Bicycle (puce)",51.69,16.9|13.0|0.3
"PET3146","Wet Adult Cat Food, Beef & Beef",1.10,5.2|5.0|3.5
"CMP3162","Bluetooth Modem",68.70,9.2|3.5|1.8
"CMP3166","Wireless Camera",76.41,14.8|8.7|2.0
"HOM3166","Mini Crockpot (white)",69.83,17.0|15.9|14.7
"TOY3168","Ultra Ball",3.33,18.3|2.9|0.0
"TOY3170","Vintage Train",19.45,15.1|15.0|1.4
"HOM3171","Automatic Toaster",16.36,8.2|5.4|0.8
"PET3175","Vegan Adult Cat Food, Turkey & Turkey",1.51,18.1|8.7|3.7
"HOM3184","Toy Timer (mauve)",5.32,11.7|2.6|0.2
"HOM3188","Vintage Machine",42.99,17.6|11.0|9.3
"TOY3190","Mega Board Game",14.51,9.4|4.9|0.6
"HOM3193","Mini Machine",29.20,19.4|11.9|0.5
"HOM3212","Vintage Crockpot (red)",110.28,7.1|4.2|1.8
"TOY3216","Lego Slinky",3.85,3.7|3.5|1.6
"HOM3219","Toy Blender (amber)",32.53,19.6|16.1|2.8
"HOM3223","Toy Mixer",68.52,15.5|12.8|3.7
"HOM3232","Vintage Blender (amber)",85.10,14.8|7.6|5.0
"TOY3233","Toy Crayons",2.00,14.0|10.0|8.4
"COL3237","Noah's Gift Box (magenta)",3.30,15.7|12.8|2.3
"PET3259","Dry Adult Cat Food, Salmon & Salmon",1.10,18.5|14.4|13.7
"HOM3260","Toy Crockpot (green)",42.54,14.4|1.7|1.4
"TOY3262","Noah's Train",10.83,17.6|16.5|2.5
"TOY3264","Electric Hebrew Blocks",3.53,13.2|9.0|5.1
"TOY3306","Transformers Airplane",11.83,12.9|7.7|3.9
"HOM3341","Vintage Blender (white)",79.74,19.5|5.9|0.3
"HOM3370","Vintage Widget (red)",7.71,19.1|7.5|6.3
"PET3383","Dry Senior Cat Food, Tuna & Tuna",1.11,18.1|14.0|6.5
"TOY3409","Ultra Airplane",12.11,12.4|11.1|6.6
"TOY3425","Automatic Board Game",16.18,11.8|11.6|6.3
"PET3436","Wet Cat Food, Shrimp & Shrimp",0.89,17.8|16.1|5.3
"PET3446","Dry Cat Food, Duck & Duck",0.97,19.5|18.6|11.2
"HOM3460","Mini Widget (azure)",5.20,12.0|11.3|4.0
"COL3473","Noah's Gift Box (puce)",2.94,16.5|15.2|9.2
"TOY3477","Vintage Doll",14.06,15.9|6.0|3.0
"PET3481","Vegan Cat Food, Salmon & Salmon",1.60,13.8|9.8|8.2
"PET3487","Vegan Adult Cat Food, Pumpkin & Pumpkin",1.21,9.8|7.6|2.3
"BKY3490","Raspberry Linzer Cookie",1.00,18.6|13.1|10.4
"PET3495","Adult Hamster Food",0.53,17.5|12.6|0.8
"HOM3504","Mini Radio (purple)",21.50,19.9|11.1|6.4
"HOM3516","Mega Crockpot",64.61,14.6|11.5|2.4
"TOY3517","Lego Hebrew Blocks",3.42,17.3|12.9|1.8
"HOM3517","Toy Blender (magenta)",39.37,19.0|18.2|5.9
"PET3521","Vegan Adult Cat Food, Duck & Duck",1.44,18.9|17.3|11.2
"TOY3522","Tonka Stickers",1.01,15.5|12.1|10.2
"HOM3523","Mini Widget (green)",5.53,18.3|14.8|4.4
"PET3545","Gluten-free Cat Food, Chicken & Chicken",1.63,19.4|9.2|3.4
"HOM3562","Mini Timer",6.76,9.5|9.0|3.5
"HOM3578","Mini Timer (yellow)",7.70,17.5|12.0|0.1
"BKY3586","Poppyseed Linzer Cookie",0.76,12.5|11.9|10.0
"HOM3588","Ultra Mixer",96.85,12.5|6.6|6.3
"TOY3593","Power Blocks",3.69,11.8|7.1|0.5
"HOM3593","Toy Machine (yellow)",16.58,18.3|8.2|0.2
"TOY3619","Noah's Blocks",4.31,13.0|11.7|3.9
"TOY3624","Noah's Slinky",2.55,18.3|14.2|12.3
"HOM3625","Handmade Radio (magenta)",40.13,8.2|4.3|0.3
"PET3635","Gluten-free Cat Food, Duck & Duck",1.42,13.4|12.2|0.7
"COL3641","Noah's Jersey (azure)",10.66,10.5|10.1|3.4
"HOM3642","Mini Widget (mauve)",4.95,15.3|10.3|6.6
"TOY3672","Noah's Stickers",1.20,15.1|12.9|11.2
"HOM3680","Toy Timer (amber)",3.95,19.2|5.6|3.5
"PET3682","Gluten-free Senior Cat Food, Tuna & Tuna",1.60,16.8|12.3|8.1
"HOM3699","Toy Widget (orange)",3.75,13.6|8.4|3.8
"HOM3713","Vintage Toaster (puce)",32.90,12.0|4.1|1.3
"HOM3732","Vintage Bicycle (purple)",126.14,4.7|4.1|1.3
"DLI3740","Kasha Knish",1.10,18.6|15.6|9.2
"HOM3747","Toy Blender (blue)",34.58,18.4|1.7|0.8
"HOM3750","Toy Radio (puce)",14.26,12.0|10.9|3.5
"HOM3762","Vintage Radio (yellow)",24.46,16.1|15.3|5.5
"CMP3766","Bluetooth Printer",109.43,11.9|8.2|3.2
"CMP3768","Bluetooth Keyboard",57.18,17.7|14.4|7.5
"TOY3791","Toy Toy Soldier",6.60,15.0|6.7|3.1
